Sample,Latitude,Longitude,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2,SO3,S,F ,Cl,LOI,Ba,Co,Cr,Cs,Li,Ni,Rb,Sr,V,Zr
dhr-10-107,13.0592,76.4429,38.37,1.63,19.27,21.16,,0.14,8.34,9.51,1.52,0.08,0.02,,,,,,4.78,18.77,81.79,71.62,0.04,,157.74,0.76,248.75,883.19,8.46
98ma123,14.85,77.32,38.37,4.84,3.6,14.16,,0.2,22.99,11.85,0.35,1.67,1.05,,,,,,6.94,1207,89.2,691,,,802,133.6,927,297,440
lm-4/9,14.932,77.357,38.42,1.32,4.07,2.65,5.1,0.16,30.1,7.53,0.28,1.37,0.71,1.07,,,,,,3290,,,,,,,,,
mm22,11.42861111,76.32666667,38.48,0.01,0.08,56.03,,0.02,1.46,1.04,0.11,0.01,0.15,,,,,,2.48,35.34,1.17,116.85,0,5.78,1.61,0.27,10.87,3.51,0.01
grd03,24.4,73.5,38.5,1.81,15,,10.95,0.17,12.9,17.75,0.68,,0.11,,,,,,3.1,10,33,173,,,157,0,966,172,244
g3,24.4,73.5,38.5,1.81,15,,10.95,0.17,12.9,17.75,0.68,,0.11,,,,,,3.1,,33,173,,,157,,966,172,244
r-166,13.9958,76.2789,38.58,0.1,1.11,13.3,,0.2,34.74,0.12,,,0,,,,,,11.06,0,,,,,,,,,
atk2/3,14.5292,77.3083,38.61,4.66,5.9,12.4,,0.13,11.66,11.66,0.49,1.1,0.88,,,,,,11.06,995,62,700,,,590,92,1224,198,354
ck-14,23.25,69.5,38.62,3.23,11.54,,16.15,0.22,13.52,11.65,2.61,0.98,0.43,,,,,,2.34,,,,,,,,,,
26a,25.86666667,73.41666667,38.64,1.06,12.35,9.64,,0.14,4.05,21.15,1.4,0.08,0.16,,0,,,,10.33,21.1,39.1,220,0.1,,44.3,1.2,96.9,225,66.6
26a,25.825,73.35,38.64,1.06,12.35,9.64,,0.14,4.05,21.15,1.4,0.08,0.16,,0,,,,10.33,21.1,39.1,220,0.1,,44.3,1.2,96.9,225,66.6
16,22,74.08,38.69,0.97,6.11,5.24,1.28,0.17,4.47,20.53,2.4,3.62,0.67,12.78,,,,,,,,,,,,,,,
rs291b-33,24.75,72.75,38.7,3.35,13.61,14.03,,0.18,4.37,7.32,1.96,3.09,0.78,,,,,,12.6,,,,,,,,,,
b2/4,13.25,76.67,38.75,0.06,10.03,7.31,,0.17,26.61,4.7,0.28,0.06,,,,,,,10.19,15.85,92,2909,,,1055,0.68,7.36,154,1.77
kl-4,12.915,78.25,38.91,0.4,4.95,12.38,,0.17,32.97,6.27,0.01,0.01,0.02,,,,,,4.59,6,,3597,,,1305,1,45,261,25
jyp-1,16.86055556,80.735,38.92,1.5,10.89,17.54,,0.24,16.08,7.34,0.38,1.1,0.82,,,,,,5,689.8,57.02,1244,0.15,,367.4,54.84,370.7,250.4,836.2
jyp-1,16.8606,80.1264,38.92,1.5,10.89,17.54,,0.24,16.08,7.34,0.38,1.1,0.82,,,,,,5,689.8,57.02,1244,0.15,,367.4,54.84,370.7,250.4,836.2
jyp-4,16.86055556,80.735,38.95,1.58,10.82,17.33,,0.24,16.22,7.6,0.26,1.24,0.82,,,,,,4.25,723.24,59.97,1172.5,0.25,,367.89,59.28,382.07,270.9,847.23
jyp-4,16.8606,80.1264,38.95,1.58,10.82,17.33,,0.24,16.22,7.6,0.26,1.24,0.82,,,,,,4.25,723.24,59.97,1172.5,0.25,,367.89,59.28,382.07,270.9,847.23
8,12.7,76.29,39,0.1,3.47,1.09,14.69,0.1,32.99,2.15,1.55,0.1,0.02,,,,,,5.32,,,,,,,,,,
b41,25.04333333,79.18333333,39,0.78,10.73,10.08,,0.16,25.36,7.77,1.71,0.65,0.08,,,,,,3.7,73.12,78.98,528.07,7.81,,414.88,53.78,12.92,181.2,15.36
r-424,13.9958,76.2789,39.19,0.1,1.31,7.94,,0.1,36.12,1.88,,,0,,,,,,12.69,0,,,,,,,,,
r-990,13.9958,76.2789,39.26,0.11,2.94,10.86,,0.15,34.58,0.58,,,0.03,,,,,,11.26,0,,,,,,,,,
me2,24.4,73.5,39.3,0.05,1,,7.25,0.04,36.9,0.16,,,,,,,,,14.7,,8,3266,,,2192,,,30,
ch2,24.4,73.5,39.3,0.09,2,,7.1,0.01,41.5,0.02,,,,,,,,,10.58,,107,1748,,,1943,,,54,
me1,24.4,73.5,39.3,0.13,2,,5,0.03,37.7,0.02,,,,,,,,,12,,92,1555,,,2004,,,51,
ck-16,23.25,69.5,39.42,3.66,10.91,,15.95,0.2,13.83,10.86,2.33,1.23,0.47,,,,,,2.11,,,,,,,,,,
r-1114,13.9958,76.2789,39.44,0.1,1.74,9.14,,0.09,37.39,0.14,,,0,,,0.01,,,12.24,0,,,,,,,,,
kk-1,16.7675,77.4856,39.48,2.81,2.81,9.41,,0.14,32.95,7.9,0.06,1.62,0.5,,,1.73,,,,941.11,95.27,937.9,1.37,,439.67,107.91,281.48,160.65,208.4
rm332,15.125,76.7,39.51,0.39,5.14,16.62,,0.18,29.55,4.2,0.21,0.04,0.03,,,,,,3.5,22.44,75.69,2438,0.13,,898,0.34,40.27,671,8.68
vs-2,16.81305556,80.14861111,39.52,3.23,6.46,14.51,,0.18,14.38,12.61,0.3,0.38,0.76,,,,,,7.33,720.8,64.36,415.7,0.64,,271.8,19.7,1083,217.2,1104
vs-2,16.8131,80.1486,39.52,3.23,6.46,14.51,,0.18,14.38,12.61,0.3,0.38,0.76,,,,,,7.33,720.8,64.36,415.7,0.64,,271.8,19.7,1083,217.2,1104
r-434,13.9958,76.2789,39.53,0.11,1.63,8.26,,0.09,37.52,0.4,,,0.03,,,,,,12.22,26.86954106,,,,,,,,,
6,12.7,76.29,39.53,0.33,4.91,6.89,5.34,0.02,29.7,1.39,0.68,0.07,1.7,,,,,,8.41,,,,,,,,,,
atk2/1,14.5292,77.3083,39.53,4.69,6.09,12.68,,0.13,11.85,11.73,0.54,1.16,0.89,,,,,,10.67,,63,710,,,600,93,1242,204,365
x114/h3/47,16.57,77.08,39.55,3.67,4.14,10.6,,0.12,19.65,8.74,,1.52,0.69,3.54,,,,,,1080.5,73.9,1047.2,3.4,45,759.6,107.4,483.7,210.5,354.4
x114/h3/47,16.5683,77.0783,39.55,3.67,4.14,10.6,,0.12,19.65,9.223501209,,1.52,0.69,3.54,,0.06,,,,1105.24,74.4722,1048.606,1.71435,45.0113,754.79155,109.67625,493.7099326,231.2586,357.18875
3,13.98,76.3,39.58,0.19,4.14,8.91,2.46,0.18,35.86,1.3,0.3,0.09,0.12,,,,,,,,118,975,,,1200,,,22,
1,23,70,39.6,3.02,8.14,6.33,6.9,0.05,15.98,12.08,2.14,1.32,0.64,,,,,,,,,,,,,,,,
